Date,GDP,YIV
01.04.1990,2.41276,2.481198905
01.07.1990,1.72721,3.356492701
01.10.1990,0.60288,3.102998175
01.01.1991,-0.9502,2.341978102
01.04.1991,-0.53884,2.989720803
01.07.1991,-0.10272,3.147476277
01.10.1991,1.16642,3.077718978
01.01.1992,2.85865,3.025448905
01.04.1992,3.16957,1.844441606
01.07.1992,3.66535,2.439684307
01.10.1992,4.38298,2.851177007
01.01.1993,3.32091,3.035169708
01.04.1993,2.80787,3.096662409
01.07.1993,2.28771,2.729417883
01.10.1993,2.60856,2.78214781
01.01.1994,3.43094,2.598614964
01.04.1994,4.22545,2.371395985
01.07.1994,4.33665,3.675388686
01.10.1994,4.11576,2.205618613
01.01.1995,3.48112,2.897136861
01.04.1995,2.40225,3.614866788
01.07.1995,2.67322,3.055096715
01.10.1995,2.19967,3.064089416
01.01.1996,2.60111,2.583082117
01.04.1996,4.00206,3.510837591
01.07.1996,4.04982,2.959817518
01.10.1996,4.42122,2.688810219
01.01.1997,4.31406,2.49655292
01.04.1997,4.30807,2.42679562
01.07.1997,4.67389,2.514538321
01.10.1997,4.48786,2.899793796
01.01.1998,4.85529,2.646286496
01.04.1998,4.09597,2.217779197
01.07.1998,4.09774,2.358034672
01.10.1998,4.87911,2.393264599
01.01.1999,4.82407,3.242257299
01.04.1999,4.66137,2.603737226
01.07.1999,4.72039,2.210242701
01.10.1999,4.80665,2.201735401
01.01.2000,4.19958,3.706978102
01.04.2000,5.29774,3.427220803
01.07.2000,4.07533,2.421213504
01.10.2000,2.97348,2.867706204
01.01.2001,2.30971,4.329198905
01.04.2001,1.05724,3.603191606
01.07.2001,0.50359,3.10469708
01.10.2001,0.15349,3.192427007
01.01.2002,1.31828,3.945169708
01.04.2002,1.33961,2.799175182
01.07.2002,2.21437,2.458155109
01.10.2002,2.09454,3.84089781
01.01.2003,1.77093,2.554890511
01.04.2003,2.0284,3.045133212
01.07.2003,3.30181,4.532888686
01.10.2003,4.32636,4.200618613
01.01.2004,4.30456,3.65834854
01.04.2004,4.20302,3.028604015
01.07.2004,3.43159,3.378859489
01.10.2004,3.28179,3.536589416
01.01.2005,3.87068,3.256819343
01.04.2005,3.56089,2.977100365
01.07.2005,3.5055,2.802330292
01.10.2005,3.12611,2.855060219
01.01.2006,3.35389,3.642815693
01.04.2006,3.11947,2.00679562
01.07.2006,2.3665,2.890801095
01.10.2006,2.5907,3.214793796
01.01.2007,1.48229,2.357536496
01.04.2007,1.82569,2.996529197
01.07.2007,2.22081,2.839271898
01.10.2007,1.97348,3.049501825
01.01.2008,1.14924,5.954757299
01.04.2008,1.09243,7.407487226
01.07.2008,0.00188,7.766505474
01.10.2008,-2.75308,7.547972628
01.01.2009,-3.28907,6.060728102
01.04.2009,-3.92445,9.210958029
01.07.2009,-3.04978,5.037476277
01.10.2009,0.18287,4.381456204
01.01.2010,1.71025,3.944198905
01.04.2010,2.79607,3.979428832
01.07.2010,3.17821,4.382184307
01.10.2010,2.56945,7.462427007
01.01.2011,1.93063,4.968919708
01.04.2011,1.7215,4.934162409
01.07.2011,0.94904,3.788167883
01.10.2011,1.60935,2.40589781
01.01.2012,2.65176,3.639890511
01.04.2012,2.36151,2.528921533
01.07.2012,2.52812,1.584125912
01.10.2012,1.46857,1.391919708
01.01.2013,1.57195,2.599611314
01.04.2013,1.26165,2.914866788
01.07.2013,1.91742,3.623859489
01.10.2013,2.61412,2.75785219
01.01.2014,1.42572,2.880594891
01.04.2014,2.67201,2.828324818
01.07.2014,3.11773,2.408567518
01.10.2014,2.87685,2.977572993
01.01.2015,3.9782,3.29280292
01.04.2015,3.35003,3.17054562
01.07.2015,2.44103,2.715801095
01.10.2015,1.90085,2.724768248
